Date,Lat,Lon,V1,sunpos,nautical_twilight,Net.type,Cruise,Event.Net,Cruise.Event.Net,Max.depth,UTC,End.of.event,End.lat,End.lon,Area,Code,Site
12/12/2014 2:03,-53.45003,-38.64877,19.93816134,73.55200307,Day,RMT8,JR304,133.1,JR304.133.1,12.9,2:03,12/12/2014 2:34,-53.43546,-38.68519,Offshelf,1.2,2
12/12/2014 2:34,-53.43523,-38.68573,354.0893344,74.26937917,Day,RMT8,JR304,133.2,JR304.133.2,205.5,2:34,12/12/2014 3:04,-53.42309,-38.72088,Offshelf,1.2,2
3/12/2015 9:40,-53.83927,-39.20995,241.3695078,0.75299956,Day,RMT8,JR15002,78.2,JR15002.78.2,12.4,9:40,3/12/2015 10:13,-53.83927,-39.20995,Onshelf,2.1,1
4/12/2015 5:44,-53.49337,-39.23926,276.7848716,44.35535068,Day,RMT8,JR15002,80.2,JR15002.80.2,203.4,5:44,4/12/2015 6:18,-53.49236,-39.27093,Offshelf,1.1,1
7/12/2015 1:36,-53.36055,-38.06822,37.12757762,71.2886778,Day,RMT8,JR15002,109.2,JR15002.109.2,202.6,1:36,7/12/2015 2:04,-53.36127,-38.09376,Offshelf,1.3,3
7/12/2015 5:01,-53.43241,-38.68527,284.402839,53.06750064,Day,RMT8,JR15002,110.2,JR15002.110.2,207.4,5:01,7/12/2015 5:30,-53.43262,-38.71008,Offshelf,1.2,2
7/12/2015 8:27,-53.78433,-38.58212,251.9258817,13.74308321,Day,RMT8,JR15002,111.2,JR15002.111.2,180.8,8:27,7/12/2015 8:56,-53.77473,-38.6059,Onshelf,2.2,2
20/12/2016 11:55,-53.52878,-39.25229,217.4062242,-17.39441899,Night,RMT8,JR16003,39.2,JR16003.39.2,205.5,11:55,21/12/2016 12:25,-53.55092,-39.24753,Offshelf,1.1,1
21/12/2016 5:03,-53.82196,-39.14552,285.1912337,54.6993186,Day,RMT8,JR16003,42.2,JR16003.42.2,205.5,5:03,21/12/2016 5:29,-53.80547,-39.13798,Onshelf,2.1,1
22/12/2016 12:42,-53.71239,-37.94997,207.8238306,-23.25783064,Night,RMT8,JR16003,51.1,JR16003.51.1,21.8,12:42,22/12/2016 12:55,-53.70805,-37.93365,Onshelf,2.3,3
22/12/2016 12:56,-53.70781,-37.93253,204.574615,-24.49425903,Night,RMT8,JR16003,51.2,JR16003.51.2,98.9,12:56,22/12/2016 1:08,-53.70064,-37.92279,Onshelf,2.3,3
23/12/2016 2:33,-53.77271,-38.62979,0.849059362,74.80224347,Day,RMT8,JR16003,59.2,JR16003.59.2,152.1,2:33,23/12/2016 2:55,-53.76352,-38.65402,Onshelf,2.2,2
